dataset,method,run_name,split,dim,n_graphs,n_clusters,cluster_alg,nmi,ari,acc,silhouette
IMDB-MULTI,GIN,gin_dim128_ep500_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,384,1500,3,spectral,0.004772,0.000168,0.345333,-0.620315
IMDB-MULTI,GIN,gin_dim128_ep500_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,384,1500,3,spectral,0.005037,0.000583,0.347333,-0.580803
IMDB-MULTI,GIN,gin_dim128_ep500_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,384,1500,3,spectral,0.011889,0.000114,0.341333,-0.427259
IMDB-MULTI,GIN,gin_dim256_ep200_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,1500,3,kmeans,0.026684,0.000891,0.351333,0.948699
IMDB-MULTI,GIN,gin_dim256_ep200_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,1500,3,kmeans,0.026684,0.000891,0.351333,0.949077
IMDB-MULTI,GIN,gin_dim256_ep200_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,1500,3,kmeans,0.026684,0.000891,0.351333,0.959542
IMDB-MULTI,GIN,gin_dim256_ep200_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,1500,3,kmeans,0.022102,0.00087,0.347333,0.972688
IMDB-MULTI,GIN,gin_dim256_ep500_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,1500,3,kmeans,0.026684,0.000891,0.351333,0.956084
IMDB-MULTI,GIN,gin_dim256_ep500_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,1500,3,kmeans,0.02805,0.000937,0.352,0.959935
IMDB-MULTI,GIN,gin_dim256_ep500_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,1500,3,kmeans,0.023755,0.000744,0.348667,0.944251
