dataset,run_name,split,n_graphs,cos_mean,cos_median,cos_std,l2_mean,l2_median,l2_std
MUTAG,gin_dim64_ep200_lr0.001_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,test,19,0.9182029366493225,0.9265693426132202,0.027399683371186256,256.0366516113281,209.85028076171875,130.6911163330078
MUTAG,gin_dim64_ep200_lr0.001_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,test,19,0.7649699449539185,0.7621739506721497,0.029147207736968994,213.84713745117188,204.2113494873047,81.31046295166016
MUTAG,gin_dim64_ep500_lr0.0005_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,test,19,0.8385888934135437,0.8505476713180542,0.03736347332596779,302.5987548828125,309.4709167480469,105.46846008300781
MUTAG,gin_dim64_ep500_lr0.0005_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,test,19,0.7747433185577393,0.7754960060119629,0.015552034601569176,167.56637573242188,171.64073181152344,43.15929412841797
MUTAG,gin_dim64_ep500_lr0.001_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,test,19,0.8410570621490479,0.8424123525619507,0.03153899312019348,286.176513671875,286.31890869140625,89.58097076416016
MUTAG,gin_dim64_ep500_lr0.001_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,test,19,0.7200466394424438,0.7267890572547913,0.038659095764160156,220.68641662597656,217.31405639648438,70.92704772949219
ENZYMES,gin_dim128_ep300_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,test,60,0.783173143863678,0.785365879535675,0.0395880788564682,1099.53173828125,816.1897583007812,813.2633056640625
ENZYMES,gin_dim128_ep300_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,test,60,0.6359420418739319,0.6317052245140076,0.04627036675810814,846.2222900390625,699.8497314453125,761.2772216796875
ENZYMES,gin_dim128_ep300_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,test,60,0.7389978766441345,0.7401914596557617,0.04059275612235069,1985.7420654296875,1579.6488037109375,2039.9669189453125
ENZYMES,gin_dim128_ep300_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,test,60,0.38960742950439453,0.36938220262527466,0.07784384489059448,636.496337890625,435.35345458984375,786.5081176757812
