dataset,method,run_name,split,dim,n_graphs,n_clusters,cluster_alg,nmi,ari,acc,silhouette
IMDB-MULTI,GIN,gin_dim256_ep200_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,1500,3,spectral,0.011493,0.001792,0.352667,0.416709
IMDB-MULTI,GIN,gin_dim256_ep200_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,1500,3,kmeans,0.027596,0.000661,0.344,0.979575
IMDB-MULTI,GIN,gin_dim256_ep200_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,1500,3,spectral,0.023945,0.002332,0.359333,0.506865
IMDB-MULTI,GIN,gin_dim256_ep500_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,1500,3,kmeans,0.024229,0.000775,0.349333,0.936727
IMDB-MULTI,GIN,gin_dim256_ep500_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,1500,3,spectral,0.005857,0.001069,0.348667,0.280925
IMDB-MULTI,GIN,gin_dim256_ep500_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,1500,3,kmeans,0.022898,0.000857,0.350667,0.959736
IMDB-MULTI,GIN,gin_dim256_ep500_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,1500,3,spectral,0.019371,0.00213,0.356667,0.301566
IMDB-MULTI,GIN,gin_dim256_ep500_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,1500,3,kmeans,0.023755,0.000744,0.348667,0.939884
IMDB-MULTI,GIN,gin_dim256_ep500_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,1500,3,spectral,0.010211,0.001613,0.351333,0.145256
IMDB-MULTI,GIN,gin_dim256_ep500_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,1500,3,kmeans,0.024949,0.000855,0.347333,0.976524
IMDB-MULTI,GIN,gin_dim256_ep500_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,1500,3,spectral,0.022221,0.002248,0.36,0.51875
IMDB-MULTI,GIN,gin_dim64_ep200_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,192,1500,3,kmeans,0.024228,0.000788,0.348667,0.914999
IMDB-MULTI,GIN,gin_dim64_ep200_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,192,1500,3,spectral,0.018078,0.000885,0.356667,0.710561
IMDB-MULTI,GIN,gin_dim64_ep200_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,192,1500,3,kmeans,0.022102,0.00087,0.347333,0.952943
IMDB-MULTI,GIN,gin_dim64_ep200_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,192,1500,3,spectral,0.011599,0.001794,0.352667,0.096616
IMDB-MULTI,GIN,gin_dim64_ep200_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,192,1500,3,kmeans,0.023755,0.000744,0.348667,0.931282
IMDB-MULTI,GIN,gin_dim64_ep200_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,192,1500,3,spectral,0.010709,0.00161,0.350667,0.09648
IMDB-MULTI,GIN,gin_dim64_ep200_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,192,1500,3,kmeans,0.024848,0.00081,0.35,0.937797
IMDB-MULTI,GIN,gin_dim64_ep200_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,192,1500,3,spectral,0.007554,5.6e-05,0.342,0.848409
IMDB-MULTI,GIN,gin_dim64_ep500_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,192,1500,3,kmeans,0.024619,0.000818,0.349333,0.883001
IMDB-MULTI,GIN,gin_dim64_ep500_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,192,1500,3,spectral,0.015926,0.004593,0.382667,0.367532
IMDB-MULTI,GIN,gin_dim64_ep500_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,192,1500,3,kmeans,0.026684,0.000891,0.351333,0.941736
IMDB-MULTI,GIN,gin_dim64_ep500_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,192,1500,3,spectral,0.005374,0.00099,0.348,-0.030652
